Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,2008-2024,252,244,37,8004,113*,38.66,6065,131.97,8,55,10,705,272
S Dhawan,2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,11,768,152
RG Sharma,2008-2024,257,252,29,6628,109*,29.72,5054,131.14,2,43,17,599,280
DA Warner,2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236
SK Raina,2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203
MS Dhoni,2008-2024,264,229,95,5243,84*,39.12,3812,137.53,0,24,6,363,252
AB de Villiers,2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251
CH Gayle,2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357
RV Uthappa,2008-2022,205,197,17,4952,88,27.51,3799,130.35,0,27,8,481,182
KD Karthik,2008-2024,257,234,50,4842,97*,26.31,3577,135.36,0,22,18,466,161
KL Rahul,2013-2024,132,123,20,4683,132*,45.46,3479,134.6,4,37,4,400,187
AM Rahane,2008-2024,185,171,17,4642,105*,30.14,3761,123.42,2,30,13,478,103
F du Plessis,2012-2024,145,138,11,4571,96,35.99,3352,136.36,0,37,7,421,166
SV Samson,2013-2024,168,163,19,4419,119,30.68,3180,138.96,3,25,11,352,206
AT Rayudu,2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173
SR Watson,2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190
MK Pandey,2008-2024,171,159,27,3850,114*,29.16,3179,121.1,1,22,14,335,110
SA Yadav,2012-2024,150,135,23,3594,103*,32.08,2473,145.32,2,24,10,385,130
JC Buttler,2016-2024,107,106,12,3582,124,38.1,2428,147.52,7,19,7,355,161
KA Pollard,2010-2022,189,171,52,3412,87*,28.67,2316,147.32,0,16,5,218,223
RR Pant,2016-2024,111,110,17,3284,128*,35.31,2205,148.93,1,18,4,296,154
Shubman Gill,2018-2024,103,100,15,3216,129,37.83,2370,135.69,4,20,4,310,95
Q de Kock,2013-2024,107,107,6,3157,140*,31.25,2352,134.22,2,23,4,316,123
SS Iyer,2015-2024,116,115,18,3127,96,32.23,2453,127.47,0,21,6,271,113
RA Jadeja,2008-2024,240,184,76,2959,62*,27.39,2280,129.78,0,3,8,215,107
WP Saha,2008-2024,170,145,24,2934,115*,24.24,2300,127.56,1,13,7,296,87
DA Miller,2012-2024,130,124,43,2924,101*,36.09,2100,139.23,1,13,4,207,134
GJ Maxwell,2012-2024,134,129,17,2771,95,24.74,1768,156.73,0,18,18,232,160
MA Agarwal,2011-2024,127,121,4,2661,106,22.74,2000,133.05,1,13,7,263,98
Ishan Kishan,2016-2024,105,99,6,2644,99,28.43,1946,135.86,0,16,8,255,119
N Rana,2016-2024,107,101,9,2636,87,28.65,1952,135.04,0,18,7,234,132
M Vijay,2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,5,247,91
HH Pandya,2015-2024,137,128,40,2525,91,28.69,1734,145.61,0,10,6,189,136
SPD Smith,2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60
AD Russell,2012-2024,127,105,20,2484,88*,29.22,1420,174.92,0,11,5,170,209
RD Gaikwad,2020-2024,66,65,8,2380,108*,41.75,1739,136.86,2,18,6,217,91
